county	compartment	value
ward030111	relative_reproduction_number	1.14275224414055
ward030115	relative_reproduction_number	1.12018866259408
ward030109	relative_reproduction_number	1.10734649542783
ward030112	relative_reproduction_number	1.12711085593894
ward030101	relative_reproduction_number	1.09504401320377
municip3003	relative_reproduction_number	1.08933011882388
municip3002	relative_reproduction_number	1.04982137989497
municip3029	relative_reproduction_number	1.09906905072526
ward030110	relative_reproduction_number	1.12192114786476
municip3004	relative_reproduction_number	1.06923991019301
ward030103	relative_reproduction_number	1.06132230845234
municip3401	relative_reproduction_number	0.953721016960942
ward030102	relative_reproduction_number	1.07962288455625
ward030104	relative_reproduction_number	1.05272752791423
municip3020	relative_reproduction_number	1.04879458379471
ward030113	relative_reproduction_number	1.06379549482086
municip3033	relative_reproduction_number	1.08036810703345
municip3014	relative_reproduction_number	1.0163305874328
ward030106	relative_reproduction_number	1.02458077701946
municip3019	relative_reproduction_number	1.01870811761907
municip3005	relative_reproduction_number	1.06933316433705
municip3030	relative_reproduction_number	1.07937581414245
ward030114	relative_reproduction_number	1.03472163350005
municip3024	relative_reproduction_number	1.03980661668218
ward030105	relative_reproduction_number	1.05832280234193
municip3007	relative_reproduction_number	0.986809608334864
municip3031	relative_reproduction_number	1.04478681410059
municip3034	relative_reproduction_number	1.01782440325583
municip3811	relative_reproduction_number	0.981612768717659
municip3035	relative_reproduction_number	1.02895079216786
municip3807	relative_reproduction_number	0.995390497218266
ward030107	relative_reproduction_number	1.02804797239137
municip3025	relative_reproduction_number	1.02108762737039
municip3411	relative_reproduction_number	0.9280012859989
ward030108	relative_reproduction_number	1.01591678629879
municip3403	relative_reproduction_number	0.960001227438157
municip3001	relative_reproduction_number	1.02173459435772
municip1103	relative_reproduction_number	0.964755464883101
municip3805	relative_reproduction_number	0.907517392820493
municip4601	relative_reproduction_number	0.99505914844173
municip1108	relative_reproduction_number	0.888734273557006
municip4204	relative_reproduction_number	0.947880503333311
municip5001	relative_reproduction_number	0.906154491242461
municip1820	relative_reproduction_number	0.633446965724211
municip5403	relative_reproduction_number	0.721210529104919
municip3428	relative_reproduction_number	0.812260690782609
municip4631	relative_reproduction_number	0.800096917404162
municip1871	relative_reproduction_number	0.854091945904944
municip3012	relative_reproduction_number	0.90387271901354
municip4203	relative_reproduction_number	0.873675444202608
municip4645	relative_reproduction_number	0.897668498674784
municip4627	relative_reproduction_number	0.950272483367974
municip1547	relative_reproduction_number	0.75220643700046
municip1576	relative_reproduction_number	0.875020034267906
municip4641	relative_reproduction_number	0.799683542768877
municip3026	relative_reproduction_number	0.975060215447453
municip4625	relative_reproduction_number	0.895731765778131
municip4632	relative_reproduction_number	0.90618070463365
municip1554	relative_reproduction_number	0.836135190784814
municip5422	relative_reproduction_number	0.882325139166045
municip3813	relative_reproduction_number	0.919416758380562
municip5416	relative_reproduction_number	0.885185217204042
municip1839	relative_reproduction_number	0.946556725315363
municip5440	relative_reproduction_number	0.84535973912771
municip1811	relative_reproduction_number	0.787486946629402
